74,광장동 주민센터,02-450-1509,서울특별시 광진구 광장로 52
75,자양1동 주민센터,02-450-1510,서울특별시 광진구 자양로13길 37
76,자양2동 주민센터,02-450-1511,서울특별시 광진구 자양로3가길 26
77,자양3동 주민센터,02-450-1512,서울특별시 광진구 뚝섬로 568
78,자양제4동 주민센터,02-450-1513,서울특별시 광진구 뚝섬로26길 58
79,화양동 주민센터,02-450-1515,서울특별시 광진구 능동로17길 39
80,군자동 주민센터,02-450-1516,서울특별시 광진구 군자로 151
81,용신동 주민센터,02-2171-6023,서울특별시 동대문구 천호대로27길 35
82,제기동 주민센터,02-2171-6063,서울특별시 동대문구 약령시로 71
83,전농1동 주민센터,02-2171-6103,서울특별시 동대문구 서울시립대로9길 21
84,전농2동 주민센터,02-2171-6143,서울특별시 동대문구 사가정로 137
85,답십리1동 주민센터,02-2171-6222,서울특별시 동대문구 고미술로 12
86,답십리2동 주민센터,02-2171-6243,서울특별시 동대문구 한천로11길 18
87,장안1동 주민센터,02-2171-6283,서울특별시 동대문구 한천로18길 52
88,장안2동 주민센터,02-2171-6346,서울특별시 동대문구 사가정로 230-1
89,청량리동 주민센터,02-2171-6363,서울특별시 동대문구 왕산로43다길 5
90,회기동 주민센터,02-2171-6403,서울특별시 동대문구 회기로25길 12-1
91,휘경1동 주민센터,02-2171-6423,서울특별시 동대문구 외대역동로6길 3
92,휘경2동 주민센터,02-2171-6443,서울특별시 동대문구 한천로 329
93,이문1동 주민센터,02-2171-6463,서울특별시 동대문구 외대역동로 114-1
94,이문2동 주민센터,02-2171-6502,서울특별시 동대문구 신이문로 27-5
95,면목2동 주민센터,02-2094-6040,서울특별시 중랑구 동일로101길 20-15
96,"면목3,8동 주민센터",02-2094-6080,서울특별시 중랑구 사가정로51길 48
97,면목4동 주민센터,02-2094-6120,서울특별시 중랑구 면목로 246
98,면목5동 주민센터,02-2094-6160,서울특별시 중랑구 동일로 619
99,면목7동 주민센터,02-2094-6200,서울특별시 중랑구 면목로 298
100,면목본동 주민센터,02-2094-6000,서울특별시 중랑구 면목로 397
101,상봉1동 주민센터,02-2094-6240,서울특별시 중랑구 상봉중앙로1길 6
102,상봉2동 주민센터,02-2094-6280,서울특별시 중랑구 봉우재로 93-5
103,중화1동 주민센터,02-2094-6320,서울특별시 중랑구 동일로134길 17
104,중화2동 주민센터,02-2094-6360,서울특별시 중랑구 봉화산로3길 28
105,묵1동 주민센터,02-2094-6400,서울특별시 중랑구 공릉로2가길 5
106,묵2동 주민센터,02-2094-6440,서울특별시 중랑구 동일로157길 29
107,망우3동 주민센터,02-2094-6520,서울특별시 중랑구 용마산로 461
108,망우본동 주민센터,02-2094-6480,서울특별시 중랑구 망우로67길 10
109,신내1동 주민센터,02-2094-6560,서울특별시 중랑구 용마산로129나길 35
110,신내2동 주민센터,02-2094-6600,서울특별시 중랑구 봉화산로 190
111,성북동 주민센터,02-2241-5000,서울특별시 성북구 성북로 37
112,돈암1동 주민센터,02-2241-5120,서울특별시 성북구 정릉로 394
