자치구,동,합계,국민기초생활보장수급권자,저소득노인,일반,인구,65세이상고령자,전연령별독거노인비율
강동구,암사3동,313,39,9,265,18420,2531,1.6992399565689469
강동구,천호1동,1317,388,65,864,27745,5008,4.746801225446026
강동구,천호3동,1300,429,66,805,27085,4577,4.799704633561012
강동구,성내1동,485,68,6,411,20353,2963,2.3829410897656365
강동구,성내2동,1159,266,61,832,24948,4231,4.645662978996312
강동구,성내3동,761,155,32,574,23692,3701,3.2120547020091172
강동구,둔촌1동,1,0,0,1,262,97,0.38167938931297707
강동구,둔촌2동,829,160,49,620,26413,4135,3.13860598947488
강동구,암사1동,1476,425,79,972,35728,5965,4.131213613972235
강동구,천호2동,1673,535,77,1061,35251,5969,4.745964653485007
강동구,길동,1572,337,58,1177,46868,7679,3.3541008790646067
